Acacia melanoxylon; Blackwood; Height: 30m, growing fast. Hardiness: 9-11. Light: full sun. Water preference: dry - moist.; Australia Acacia, Black Acacia, Blackwood Acacia; uncategorised; 9
Acacia mucronata; Narrow-Leaf Wattle; Height: 9m. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; ; uncategorised; 7
Acacia murrayana; Murray’s wattle; Height: 5m, growing fast. Hardiness: 10-12. Light: full sun. Water preference: dry - moist.; Colony wattle; Food forest; 10
Acacia paradoxa; Kangaroo Thorn; Height: 5m. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; Paradox acacia; uncategorised; 7
Acacia podalyriifolia; Queensland Silver Wattle; Height: 3m. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; Pearl wattle; uncategorised; 7
Acacia pycnantha; Golden Wattle; Height: 8m, growing fast. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; ; uncategorised; 7
Acacia retinodes; Swamp Wattle; Height: 6m. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; Water wattle; uncategorised; 7
Acacia saligna; Blue-Leaved Wattle; Height: 6m, growing fast. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; Orange wattle; uncategorised; 7
Acacia sophorae; Coastal Wattle; Height: 0m. Hardiness: 0-0. Light: full sun. Water preference: dry - moist.; Acacia; uncategorised; 0
Acacia verticillata; Prickly Moses; Height: 6m. Hardiness: 7-10. Light: full sun. Water preference: dry - moist.; ; uncategorised; 7
Acacia victoriae; Bramble wattle. Gundabluey; Height: 10m, growing fast. Hardiness: 8-11. Light: full sun. Water preference: dry - moist.; Bardi bush; Food forest; 8
Acanthocereus tetragonus; Pitahaya. Barbed-wire cactus.; Height: 5m, growing slowly. Hardiness: 10-12. Light: full sun. Water preference: unknown moisture.; ; Food forest; 10
Acca sellowiana; Feijoa; Height: 3m, growing slowly. Hardiness: 8-11. Light: full sun. Water preference: dry - moist.; Pineapple Guava; Food forest; 8
Acer acuminatum; ; Height: 6m. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Acer argutum; ; Height: 8m. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 4
Acer caesium; ; Height: 15m. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Acer campestre; Field Maple; Height: 15m, growing fast. Hardiness: 4-8. Light: semi-shade or full sun. Water preference: moist.; Hedge maple; uncategorised; 4
Acer carpinifolium; Hornbeam Maple; Height: 10m, growing slowly. Hardiness: 4-7. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 4
Acer circinatum; Vine Maple; Height: 12m, growing slowly. Hardiness: 6-9. Light: semi-shade or full sun. Water preference: moist.; ; uncategorised; 6
