treeId;latinName;latitude;longitude;datePlanted;notes;Origin;Rootstock;Variety
461;Pyrus Bretschneideri;45.10438773;1.92861319;1602415701411;;Origin;Rootstock;
462;Elaeagnus Umbellata;45.10436941;1.92863599;1602415712888;;Origin;Rootstock;
463;Malus domestica;45.10432238;1.92865864;1602415825464;;Origin;M26;Bramley
464;Malus domestica;45.10435865;1.92865459;1602415894635;;Origin;M26;Queens Cox, peasgood nonsuch
465;Malus domestica;45.10437199;1.9286555;1602415919671;;Origin;M26;Queens Cox
466;Malus domestica;45.10435888;1.92862524;1602415940899;;Origin;M26;
467;Malus domestica;45.10443051;1.9286119;1602415970526;;Origin;M26;glowing heart (red)
468;Malus domestica;45.10448098;1.9286243;1602416034248;;Origin;M26;reinette hernault
469;Malus domestica;45.10449975;1.92863109;1602416049541;;Origin;M26;
470;Malus domestica;45.10451849;1.92868026;1602416085754;;Origin;M26;
471;Pyrus Bretschneideri;45.10451848;1.92874126;1602416121633;;Origin;;from seed 45
472;Pyrus Bretschneideri;45.10454349;1.92870506;1602416129889;;Origin;;from seed 45
473;Elaeagnus Umbellata;45.10454267;1.92866199;1602416163804;;Origin;;
474;Pyrus Bretschneideri;45.10447312;1.92870841;1602416199618;from seed 45;Origin;;
475;Pyrus Bretschneideri;45.10444424;1.92862724;1602416214842;from seed 45;Origin;;
476;Pyrus Bretschneideri;45.1044235;1.92871869;1602416229848;from seed 45;Origin;;
477;Robinia Psuedoacacia;45.104455;1.9287076;1602416247200;;Origin;;
478;Elaeagnus Umbellata;45.10442596;1.92868844;1602416275439;from seed 10;Origin;;
479;Malus domestica;45.10440904;1.92868677;1602416298659;;Origin;M26;
480;morus alba;45.10454634;1.92893311;1602416554205;White mulberry;Origin;Rootstock;Variety
